目,科,学名,英文名,中文名,繁体名,保护等级,IUCN,XC代码,AvibaseID
ACCIPITRIFORMES,,Circus pygargus,Montagu's Harrier,乌灰鹞,烏灰鷂,二级,LC,monhar1,avibase-63B6412E
ACCIPITRIFORMES,,Clanga clanga,Greater Spotted Eagle,乌雕,,一级,VU,grseag1,avibase-BAC4CA22
ACCIPITRIFORMES,,Gyps fulvus,Griffon Vulture,兀鹫,兀鷲,二级,LC,eurgri1,avibase-5D1987CE
ACCIPITRIFORMES,,Pernis ptilorhynchus,Crested Honey Buzzard,凤头蜂鹰,,二级,LC,orihob2,avibase-1192205B
ACCIPITRIFORMES,,Accipiter trivirgatus,Crested Goshawk,凤头鹰,,二级,,,
ACCIPITRIFORMES,,Nisaetus cirrhatus,Changeable Hawk-Eagle,凤头鹰雕,,二级,LC,y00839,avibase-2C0FA6E3
ACCIPITRIFORMES,,Buteo burmanicus,,喜山鵟,,二级,,,
ACCIPITRIFORMES,,Buteo hemilasius,Upland Buzzard,大鵟,大鵟,二级,LC,uplbuz1,avibase-92FFE8FF
ACCIPITRIFORMES,,Accipiter gularis,Japanese Sparrowhawk,日本松雀鹰,,二级,,,
ACCIPITRIFORMES,,Buteo japonicus,Eastern Buzzard,普通鵟,,二级,LC,combuz6,avibase-3895BE56
ACCIPITRIFORMES,,Accipiter virgatus,Besra,松雀鹰,,二级,,,
ACCIPITRIFORMES,,Ictinaetus malaiensis,Black Eagle,林雕,,二级,LC,blaeag1,avibase-28D7E7CC
ACCIPITRIFORMES,,Haliastur indus,Brahminy Kite,栗鸢,栗鳶,二级,LC,brakit1,avibase-D89A9DC9
ACCIPITRIFORMES,,Buteo rufinus,Long-legged Buzzard,棕尾鵟,棕尾鵟,二级,LC,lolbuz1,avibase-CC65921F
ACCIPITRIFORMES,,Butastur liventer,Rufous-winged Buzzard,棕翅鵟鹰,棕翅鵟鷹,二级,LC,ruwbuz1,avibase-DAB52BF2
ACCIPITRIFORMES,,Lophotriorchis kienerii,Rufous-bellied Eagle,棕腹隼雕,,二级,NT,rubeag2,avibase-BEB2A9A8
ACCIPITRIFORMES,,Buteo buteo,Common Buzzard,欧亚鵟,普通鵟〔歐亞鵟〕,二级,LC,combuz1,avibase-3C0C325D
ACCIPITRIFORMES,,Buteo lagopus,Rough-legged Buzzard,毛脚鵟,毛足鵟,二级,LC,rolhaw,avibase-90B13ACF
ACCIPITRIFORMES,,Haliaeetus humilis,,渔雕,,二级,,,
ACCIPITRIFORMES,,Butastur indicus,Grey-faced Buzzard,灰脸鵟鹰,灰面鵟鷹,二级,LC,gyfbuz1,avibase-2E1D79FE
ACCIPITRIFORMES,,Haliaeetus leucoryphus,Pallas's Fish Eagle,玉带海雕,玉帶海鵰,一级,EN,pafeag1,avibase-F3CCFC18
ACCIPITRIFORMES,,Neophron percnopterus,Egyptian Vulture,白兀鹫,白兀鷲,二级,EN,egyvul1,avibase-6D3480A6
ACCIPITRIFORMES,,Circus aeruginosus,Western Marsh Harrier,白头鹞,西方澤鵟〔白頭鷂，西方澤鷂〕,二级,LC,wemhar1,avibase-E2A19474
ACCIPITRIFORMES,,Haliaeetus albicilla,White-tailed Eagle,白尾海雕,白尾海鵰,一级,LC,whteag,avibase-5A3D91D3
ACCIPITRIFORMES,,Circus cyaneus,Hen Harrier,白尾鹞,灰澤鵟〔白尾鷂，北方灰鷂〕,二级,LC,norhar1,avibase-F558C7F9
ACCIPITRIFORMES,,Butastur teesa,White-eyed Buzzard,白眼鵟鹰,白眼鵟鷹,二级,LC,whebuz1,avibase-868CD246
ACCIPITRIFORMES,,Aquila heliaca,Eastern Imperial Eagle,白肩雕,白肩鵰,一级,VU,impeag1,avibase-469DCF57
ACCIPITRIFORMES,,Gyps bengalensis,White-rumped Vulture,白背兀鹫,白腰兀鷲,一级,CR,whrvul1,avibase-FC2346E6
ACCIPITRIFORMES,,Haliaeetus leucogaster,White-bellied Sea Eagle,白腹海雕,,一级,,,
ACCIPITRIFORMES,,Aquila fasciata,Bonelli's Eagle,白腹隼雕,,二级,LC,boneag2,avibase-05F11441
ACCIPITRIFORMES,,Circus spilonotus,Eastern Marsh Harrier,白腹鹞,,二级,LC,easmah1,avibase-A2F048C0
ACCIPITRIFORMES,,Circaetus gallicus,Short-toed Snake Eagle,短趾雕,短趾鵰,二级,LC,shteag1,avibase-8372FFBA
ACCIPITRIFORMES,,Aegypius monachus,Cinereous Vulture,秃鹫,禿鷲,一级,NT,cinvul1,avibase-158BDC90
ACCIPITRIFORMES,,Gypaetus barbatus,Bearded Vulture,胡兀鹫,鬍兀鷲,一级,NT,lammer1,avibase-81DB7410
ACCIPITRIFORMES,,Accipiter gentilis,Northern Goshawk,苍鹰,,二级,,,
ACCIPITRIFORMES,,Aquila nipalensis,Steppe Eagle,草原雕,歐亞草原鵰,一级,EN,steeag1,avibase-A635F565
ACCIPITRIFORMES,,Circus macrourus,Pallid Harrier,草原鹞,草原鷂,二级,NT,palhar1,avibase-22647E26
ACCIPITRIFORMES,,Haliaeetus pelagicus,Steller's Sea Eagle,虎头海雕,虎頭海鵰,一级,VU,stseag,avibase-C481FB24
ACCIPITRIFORMES,,Spilornis cheela,Crested Serpent Eagle,蛇雕,大冠鷲〔蛇鵰〕,二级,LC,crseag1,avibase-3EEEE78A
ACCIPITRIFORMES,,Aviceda jerdoni,Jerdon's Baza,褐冠鹃隼,褐冠鵑隼,二级,LC,jerbaz1,avibase-0C89F1D6
ACCIPITRIFORMES,,Accipiter badius,Shikra,褐耳鹰,,二级,,,
ACCIPITRIFORMES,,Accipiter soloensis,Chinese Sparrowhawk,赤腹鹰,,二级,,,
ACCIPITRIFORMES,,Aquila chrysaetos,Golden Eagle,金雕,金鵰,一级,LC,goleag,avibase-5F8E7CA8
ACCIPITRIFORMES,,Gyps tenuirostris,Slender-billed Vulture,长嘴兀鹫,,二级,CR,slbvul1,avibase-11324DC8
ACCIPITRIFORMES,,Accipiter nisus,Eurasian Sparrowhawk,雀鹰,北雀鷹〔雀鷹〕,二级,LC,eurspa1,avibase-DB376A66
