中文名,English name,Scientific name,发现地点
亚历山大鹦鹉,Alexandrine Parakeet,Psittacula eupatria,那邦、盈江湿地公园
淡尾鹟莺,Alström's Warbler,Phylloscopus soror,那邦、石梯村
红脚隼,Amur Falcon,Falco amurensis,石梯村
寿带,Amur Paradise-Flycatcher,Terpsiphone incei,那邦、盈江湿地公园
东亚石䳭,Amur Stonechat,Saxicola stejnegeri,那邦、盈江湿地公园
极北柳莺,Arctic Warbler,Phylloscopus borealis,盈江湿地公园、石梯村
灰短脚鹎,Ashy Bulbul,Hemixos flavala,那邦、盈江湿地公园、石梯村
灰卷尾,Ashy Drongo,Dicrurus leucophaeus,那邦、盈江湿地公园、石梯村
灰山椒鸟,Ashy Minivet,Pericrocotus divaricatus,盈江湿地公园
灰林鸽,Ashy Wood-Pigeon,Columba pulchricollis,那邦
灰燕鵙,Ashy Woodswallow,Artamus fuscus,那邦、盈江湿地公园、石梯村
灰头绿鸠,Ashy-headed Green-Pigeon,Treron phayrei,盈江湿地公园
灰喉柳莺,Ashy-throated Warbler,Phylloscopus maculipennis,那邦、盈江湿地公园、石梯村
斑头鸺鹠,Asian Barred Owlet,Glaucidium cuculoides,那邦、盈江湿地公园、石梯村
北灰鹟,Asian Brown Flycatcher,Muscicapa dauurica,盈江湿地公园、石梯村
翠金鹃,Asian Emerald Cuckoo,Chrysococcyx maculatus,那邦、石梯村
绿翅金鸠,Asian Emerald Dove,Chalcophaps indica,那邦、石梯村
和平鸟,Asian Fairy-bluebird,Irena puella,那邦、石梯村
绿喉蜂虎,Asian Green Bee-eater,Merops orientalis,那邦、盈江湿地公园、石梯村
烟腹毛脚燕,Asian House-Martin,Delichon dasypus,那邦、盈江湿地公园、石梯村
噪鹃,Asian Koel,Eudynamys scolopaceus,那邦、盈江湿地公园、石梯村
钳嘴鹳,Asian Openbill,Anastomus oscitans,盈江湿地公园
棕雨燕,Asian Palm Swift,Cypsiurus balasiensis,那邦、盈江湿地公园、石梯村
鳞头树莺,Asian Stubtail,Urosphena squameiceps,石梯村
大山雀,Asian Tit,Parus cinereus,那邦、盈江湿地公园、石梯村
红顶噪鹛,Assam Laughingthrush,Trochalopteron chrysopterum,石梯村
栗斑杜鹃,Banded Bay Cuckoo,Cacomantis sonneratii,石梯村
崖沙燕,Bank Swallow,Riparia riparia,盈江湿地公园
褐背鹟鵙,Bar-winged Flycatcher-shrike,Hemipus picatus,那邦、盈江湿地公园、石梯村
家燕,Barn Swallow,Hirundo rustica,那邦、盈江湿地公园、石梯村
棕三趾鹑,Barred Buttonquail,Turnix suscitator,那邦、石梯村
斑尾鹃鸠,Barred Cuckoo-Dove,Macropygia unchall,那邦、石梯村
黄嘴栗啄木鸟,Bay Woodpecker,Blythipicus pyrrhotis,那邦、盈江湿地公园、石梯村
黄胸织雀,Baya Weaver,Ploceus philippinus,那邦
丽色奇鹛,Beautiful Sibia,Heterophasia pulchella,那邦、石梯村
松雀鹰,Besra,Tachyspiza virgata,那邦、盈江湿地公园、石梯村
比氏鹟莺,Bianchi's Warbler,Phylloscopus valentini,那邦、盈江湿地公园、石梯村
黑短脚鹎,Black Bulbul,Hypsipetes leucocephalus,那邦、盈江湿地公园、石梯村
黑卷尾,Black Drongo,Dicrurus macrocercus,那邦、盈江湿地公园、石梯村
林雕,Black Eagle,Ictinaetus malaiensis,那邦、盈江湿地公园、石梯村
